observation_id,place_id,iso3,place_name,indicator_id,indicator_code,indicator_name,domain,raw_value,unit_label,reference_year,global_rank_within_indicator,indicator_country_count,adverse_percentile_within_indicator,comparison_direction,source_id,source_snapshot_id,source_vintage,extraction_timestamp,license_id,data_license_uri,evidence_kind,uncertainty_class,pain_relevance,caveat
painmap-human-health-pressure-context-v1:NCL:diabetes-prevalence:2024,NCL,NCL,New Caledonia,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,22,percent of population ages 20–79,2024,11,208,95.17,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:NRU:diabetes-prevalence:2024,NRU,NRU,Nauru,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,21.8,percent of population ages 20–79,2024,12,208,94.69,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:MYS:diabetes-prevalence:2024,MYS,MYS,Malaysia,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,21.1,percent of population ages 20–79,2024,13,208,94.2,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:ARE:diabetes-prevalence:2024,ARE,ARE,United Arab Emirates,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,20.7,percent of population ages 20–79,2024,14,208,93.72,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:JOR:diabetes-prevalence:2024,JOR,JOR,Jordan,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,20.5,percent of population ages 20–79,2024,15,208,93.24,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:GUM:diabetes-prevalence:2024,GUM,GUM,Guam,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,20.3,percent of population ages 20–79,2024,16,208,92.75,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:MUS:diabetes-prevalence:2024,MUS,MUS,Mauritius,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,20.1,percent of population ages 20–79,2024,17,208,92.27,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:VUT:diabetes-prevalence:2024,VUT,VUT,Vanuatu,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,19.7,percent of population ages 20–79,2024,18,208,91.79,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:TON:diabetes-prevalence:2024,TON,TON,Tonga,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,19.6,percent of population ages 20–79,2024,19,208,91.3,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:PLW:diabetes-prevalence:2024,PLW,PLW,Palau,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,19.3,percent of population ages 20–79,2024,20,208,90.82,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:FSM:diabetes-prevalence:2024,FSM,FSM,Federated States of Micronesia,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,19.2,percent of population ages 20–79,2024,21,208,90.34,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:SDN:diabetes-prevalence:2024,SDN,SDN,Sudan,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,19,percent of population ages 20–79,2024,22,208,89.86,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:SYR:diabetes-prevalence:2024,SYR,SYR,Syria,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,19,percent of population ages 20–79,2024,22,208,89.86,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:TUV:diabetes-prevalence:2024,TUV,TUV,Tuvalu,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,19,percent of population ages 20–79,2024,22,208,89.86,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:DOM:diabetes-prevalence:2024,DOM,DOM,Dominican Republic,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,17.6,percent of population ages 20–79,2024,25,208,88.41,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:DZA:diabetes-prevalence:2024,DZA,DZA,Algeria,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,17.5,percent of population ages 20–79,2024,26,208,87.92,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:OMN:diabetes-prevalence:2024,OMN,OMN,Oman,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,17,percent of population ages 20–79,2024,27,208,87.44,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:FJI:diabetes-prevalence:2024,FJI,FJI,Fiji,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,16.6,percent of population ages 20–79,2024,28,208,86.96,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:TUR:diabetes-prevalence:2024,TUR,TUR,Turkey,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,16.5,percent of population ages 20–79,2024,29,208,86.47,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:GUY:diabetes-prevalence:2024,GUY,GUY,Guyana,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,16.4,percent of population ages 20–79,2024,30,208,85.99,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:MEX:diabetes-prevalence:2024,MEX,MEX,Mexico,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,16.4,percent of population ages 20–79,2024,30,208,85.99,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:TUN:diabetes-prevalence:2024,TUN,TUN,Tunisia,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,16,percent of population ages 20–79,2024,32,208,85.02,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:LBY:diabetes-prevalence:2024,LBY,LBY,Libya,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,15.8,percent of population ages 20–79,2024,33,208,84.54,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:PSE:diabetes-prevalence:2024,PSE,PSE,Palestine,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,15.5,percent of population ages 20–79,2024,34,208,84.06,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
painmap-human-health-pressure-context-v1:BLZ:diabetes-prevalence:2024,BLZ,BLZ,Belize,diabetes-prevalence,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79),chronic-metabolic-disease,14.1,percent of population ages 20–79,2024,35,208,83.57,higher_value_more_adverse_context,world-bank-health-pressure-context,snapshot.world-bank-health-pressure.sh.sta.diab.zs.2026-07-31,"Diabetes Atlas, International Diabetes Federation; observation year 2024; retrieved 2026-07-31",2026-07-31T06:16:43Z,world-bank-terms,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,proxy,low,"Diabetes can cause painful neuropathy and vascular complications. Prevalence is a disease-context proxy, not a measure of pain prevalence or severity.","Proxy/context indicator only. It does not directly measure pain intensity, duration, prevalence, disability, or total suffering."
