iso3,display_name,place_id_candidate,current_status,candidate_status,promote_to_canonical,blocking_reasons,next_action
ASM,American Samoa,country:ASM,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
ATA,Antarctica,country:ATA,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
ATF,French Southern Territories,country:ATF,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
ATG,Antigua and Barbuda,country:ATG,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
AUS,Australia,country:AUS,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
AUT,Austria,country:AUT,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
AZE,Azerbaijan,country:AZE,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
BDI,Burundi,country:BDI,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
BEL,Belgium,country:BEL,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
BEN,Benin,country:BEN,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
BES,"Bonaire, Sint Eustatius and Saba",country:BES,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
BFA,Burkina Faso,country:BFA,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
BGD,Bangladesh,country:BGD,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
BGR,Bulgaria,country:BGR,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
BHR,Bahrain,country:BHR,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
BHS,Bahamas,country:BHS,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
BIH,Bosnia and Herzegovina,country:BIH,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
BLM,Saint Barthélemy,country:BLM,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
BLR,Belarus,country:BLR,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
BLZ,Belize,country:BLZ,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
BMU,Bermuda,country:BMU,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
BOL,Bolivia,country:BOL,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
BRA,Brazil,country:BRA,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
BRB,Barbados,country:BRB,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
BRN,Brunei Darussalam,country:BRN,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
BTN,Bhutan,country:BTN,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
BVT,Bouvet Island,country:BVT,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
BWA,Botswana,country:BWA,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
CAF,Central African Republic,country:CAF,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
CAN,Canada,country:CAN,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
CCK,Cocos (Keeling) Islands,country:CCK,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
CHE,Switzerland,country:CHE,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
CHL,Chile,country:CHL,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
CHN,China,country:CHN,boundary_index_only_in_active_release,source_backed_partial_manual_review,False,"[""candidate rows require manual source and method review"", ""OWID original-provider terms require final license review"", ""remaining canonical country-profile source groups are incomplete"", ""candidate package has not been promoted into the immutable release""]","Review the three captured source groups, complete remaining source groups, then create a new immutable release rather than mutating the current release."
CIV,Côte d'Ivoire,country:CIV,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
CMR,Cameroon,country:CMR,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
COD,"Congo, The Democratic Republic of the",country:COD,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
COG,Congo,country:COG,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
COK,Cook Islands,country:COK,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
COL,Colombia,country:COL,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
COM,Comoros,country:COM,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
CPV,Cabo Verde,country:CPV,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
CRI,Costa Rica,country:CRI,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
CUB,Cuba,country:CUB,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
CUW,Curaçao,country:CUW,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
CXR,Christmas Island,country:CXR,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
CYM,Cayman Islands,country:CYM,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
CYP,Cyprus,country:CYP,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
CZE,Czechia,country:CZE,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
DEU,Germany,country:DEU,boundary_index_only_in_active_release,source_backed_partial_manual_review,False,"[""candidate rows require manual source and method review"", ""OWID original-provider terms require final license review"", ""remaining canonical country-profile source groups are incomplete"", ""candidate package has not been promoted into the immutable release""]","Review the three captured source groups, complete remaining source groups, then create a new immutable release rather than mutating the current release."
DJI,Djibouti,country:DJI,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
DMA,Dominica,country:DMA,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
DNK,Denmark,country:DNK,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
DOM,Dominican Republic,country:DOM,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
DZA,Algeria,country:DZA,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
ECU,Ecuador,country:ECU,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
EGY,Egypt,country:EGY,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
ERI,Eritrea,country:ERI,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
ESH,Western Sahara,country:ESH,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
ESP,Spain,country:ESP,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
EST,Estonia,country:EST,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
ETH,Ethiopia,country:ETH,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
FIN,Finland,country:FIN,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
FJI,Fiji,country:FJI,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
FLK,Falkland Islands (Malvinas),country:FLK,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
FRA,France,country:FRA,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
FRO,Faroe Islands,country:FRO,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
FSM,"Micronesia, Federated States of",country:FSM,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
GAB,Gabon,country:GAB,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
GBR,United Kingdom,country:GBR,boundary_index_only_in_active_release,source_backed_partial_manual_review,False,"[""candidate rows require manual source and method review"", ""OWID original-provider terms require final license review"", ""remaining canonical country-profile source groups are incomplete"", ""candidate package has not been promoted into the immutable release""]","Review the three captured source groups, complete remaining source groups, then create a new immutable release rather than mutating the current release."
GEO,Georgia,country:GEO,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
GGY,Guernsey,country:GGY,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
GHA,Ghana,country:GHA,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
GIB,Gibraltar,country:GIB,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
GIN,Guinea,country:GIN,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
GLP,Guadeloupe,country:GLP,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
GMB,Gambia,country:GMB,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
GNB,Guinea-Bissau,country:GNB,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
GNQ,Equatorial Guinea,country:GNQ,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
GRC,Greece,country:GRC,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
GRD,Grenada,country:GRD,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
GRL,Greenland,country:GRL,unknown_until_hidden_release_artifacts_fetchable,not_promoted,False,"[""PainMap hidden coverage artifacts not fetched"", ""source snapshots not captured"", ""licenses not fully verified"", ""numeric values not fetched/QAed""]","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary."
