iso3,country_name,has_population_total,population_reference_period,has_land_area,land_area_reference_period,has_agricultural_land,agricultural_land_reference_period,wdi_context_complete,missing_wdi_context_inputs,context_row_count,coverage_status_after_wdi_parse,promotion_decision_after_wdi_parse
MHL,Marshall Islands,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
MKD,North Macedonia,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
MLI,Mali,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
MLT,Malta,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
MMR,Myanmar,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
MNE,Montenegro,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
MNG,Mongolia,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
MNP,Northern Mariana Islands,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
MOZ,Mozambique,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
MRT,Mauritania,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
MSR,Montserrat,false,,false,,false,,false,"[""AG.LND.AGRI.K2"",""AG.LND.TOTL.K2"",""SP.POP.TOTL""]",0,missing_canonical_country_profile_or_only_boundary_context,not_promoted_context_only
MTQ,Martinique,false,,false,,false,,false,"[""AG.LND.AGRI.K2"",""AG.LND.TOTL.K2"",""SP.POP.TOTL""]",0,missing_canonical_country_profile_or_only_boundary_context,not_promoted_context_only
MUS,Mauritius,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
MWI,Malawi,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
MYS,Malaysia,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
MYT,Mayotte,false,,false,,false,,false,"[""AG.LND.AGRI.K2"",""AG.LND.TOTL.K2"",""SP.POP.TOTL""]",0,missing_canonical_country_profile_or_only_boundary_context,not_promoted_context_only
NAM,Namibia,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
NCL,New Caledonia,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
NER,Niger,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
NFK,Norfolk Island,false,,false,,false,,false,"[""AG.LND.AGRI.K2"",""AG.LND.TOTL.K2"",""SP.POP.TOTL""]",0,missing_canonical_country_profile_or_only_boundary_context,not_promoted_context_only
NGA,Nigeria,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
NIC,Nicaragua,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
NIU,Niue,false,,false,,false,,false,"[""AG.LND.AGRI.K2"",""AG.LND.TOTL.K2"",""SP.POP.TOTL""]",0,missing_canonical_country_profile_or_only_boundary_context,not_promoted_context_only
NLD,Netherlands,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
NOR,Norway,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
NPL,Nepal,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
NRU,Nauru,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
NZL,New Zealand,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
OMN,Oman,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
PAK,Pakistan,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
PAN,Panama,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
PCN,Pitcairn,false,,false,,false,,false,"[""AG.LND.AGRI.K2"",""AG.LND.TOTL.K2"",""SP.POP.TOTL""]",0,missing_canonical_country_profile_or_only_boundary_context,not_promoted_context_only
PER,Peru,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
PHL,Philippines,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
PLW,Palau,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
PNG,Papua New Guinea,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
POL,Poland,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
PRI,Puerto Rico,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
PRK,"Korea, Democratic People's Republic of",true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
PRT,Portugal,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
PRY,Paraguay,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
PSE,"Palestine, State of",true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
PYF,French Polynesia,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
QAT,Qatar,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
REU,Réunion,false,,false,,false,,false,"[""AG.LND.AGRI.K2"",""AG.LND.TOTL.K2"",""SP.POP.TOTL""]",0,missing_canonical_country_profile_or_only_boundary_context,not_promoted_context_only
ROU,Romania,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
RUS,Russian Federation,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
RWA,Rwanda,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
SAU,Saudi Arabia,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
SDN,Sudan,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
SEN,Senegal,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
SGP,Singapore,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
SGS,South Georgia and the South Sandwich Islands,false,,false,,false,,false,"[""AG.LND.AGRI.K2"",""AG.LND.TOTL.K2"",""SP.POP.TOTL""]",0,missing_canonical_country_profile_or_only_boundary_context,not_promoted_context_only
SHN,"Saint Helena, Ascension and Tristan da Cunha",false,,false,,false,,false,"[""AG.LND.AGRI.K2"",""AG.LND.TOTL.K2"",""SP.POP.TOTL""]",0,missing_canonical_country_profile_or_only_boundary_context,not_promoted_context_only
SJM,Svalbard and Jan Mayen,false,,false,,false,,false,"[""AG.LND.AGRI.K2"",""AG.LND.TOTL.K2"",""SP.POP.TOTL""]",0,missing_canonical_country_profile_or_only_boundary_context,not_promoted_context_only
SLB,Solomon Islands,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
SLE,Sierra Leone,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
SLV,El Salvador,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
SMR,San Marino,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
SOM,Somalia,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
SPM,Saint Pierre and Miquelon,false,,false,,false,,false,"[""AG.LND.AGRI.K2"",""AG.LND.TOTL.K2"",""SP.POP.TOTL""]",0,missing_canonical_country_profile_or_only_boundary_context,not_promoted_context_only
SRB,Serbia,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
SSD,South Sudan,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
STP,Sao Tome and Principe,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
SUR,Suriname,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
SVK,Slovakia,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
SVN,Slovenia,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
SWE,Sweden,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
SWZ,Eswatini,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
SXM,Sint Maarten (Dutch part),true,2025,true,2023,false,,false,"[""AG.LND.AGRI.K2""]",2,partial_context_only,not_promoted_context_only
SYC,Seychelles,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
SYR,Syrian Arab Republic,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
TCA,Turks and Caicos Islands,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
TCD,Chad,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
TGO,Togo,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
THA,Thailand,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
TJK,Tajikistan,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
TKL,Tokelau,false,,false,,false,,false,"[""AG.LND.AGRI.K2"",""AG.LND.TOTL.K2"",""SP.POP.TOTL""]",0,missing_canonical_country_profile_or_only_boundary_context,not_promoted_context_only
TKM,Turkmenistan,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
TLS,Timor-Leste,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
TON,Tonga,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
TTO,Trinidad and Tobago,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
TUN,Tunisia,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
TUR,Türkiye,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
TUV,Tuvalu,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
TWN,"Taiwan, Province of China",false,,false,,false,,false,"[""AG.LND.AGRI.K2"",""AG.LND.TOTL.K2"",""SP.POP.TOTL""]",0,missing_canonical_country_profile_or_only_boundary_context,not_promoted_context_only
TZA,"Tanzania, United Republic of",true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
UGA,Uganda,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
UKR,Ukraine,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
UMI,United States Minor Outlying Islands,false,,false,,false,,false,"[""AG.LND.AGRI.K2"",""AG.LND.TOTL.K2"",""SP.POP.TOTL""]",0,missing_canonical_country_profile_or_only_boundary_context,not_promoted_context_only
URY,Uruguay,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
USA,United States,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
UZB,Uzbekistan,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
VAT,Holy See (Vatican City State),false,,false,,false,,false,"[""AG.LND.AGRI.K2"",""AG.LND.TOTL.K2"",""SP.POP.TOTL""]",0,missing_canonical_country_profile_or_only_boundary_context,not_promoted_context_only
VCT,Saint Vincent and the Grenadines,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
VEN,"Venezuela, Bolivarian Republic of",true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
VGB,"Virgin Islands, British",true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
VIR,"Virgin Islands, U.S.",true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
VNM,Viet Nam,true,2025,true,2023,true,2023,true,[],3,partial_context_only,not_promoted_context_only
