iso3,iso2,display_name,official_name,release_id,place_id_candidate,current_coverage_status,current_visible_country_fields_layers,missing_required_inputs,proposed_promotion_status_after_research,reason_if_still_not_promotable,live_site_basis
ASM,AS,American Samoa,,release-candidate-2026-07-07.country-context.v0,country:ASM,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
ATA,AQ,Antarctica,,release-candidate-2026-07-07.country-context.v0,country:ATA,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
ATF,TF,French Southern Territories,,release-candidate-2026-07-07.country-context.v0,country:ATF,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
ATG,AG,Antigua and Barbuda,,release-candidate-2026-07-07.country-context.v0,country:ATG,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
AUS,AU,Australia,,release-candidate-2026-07-07.country-context.v0,country:AUS,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
AUT,AT,Austria,Republic of Austria,release-candidate-2026-07-07.country-context.v0,country:AUT,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
AZE,AZ,Azerbaijan,Republic of Azerbaijan,release-candidate-2026-07-07.country-context.v0,country:AZE,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
BDI,BI,Burundi,Republic of Burundi,release-candidate-2026-07-07.country-context.v0,country:BDI,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
BEL,BE,Belgium,Kingdom of Belgium,release-candidate-2026-07-07.country-context.v0,country:BEL,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
BEN,BJ,Benin,Republic of Benin,release-candidate-2026-07-07.country-context.v0,country:BEN,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
BES,BQ,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba",release-candidate-2026-07-07.country-context.v0,country:BES,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
BFA,BF,Burkina Faso,,release-candidate-2026-07-07.country-context.v0,country:BFA,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
BGD,BD,Bangladesh,People's Republic of Bangladesh,release-candidate-2026-07-07.country-context.v0,country:BGD,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
BGR,BG,Bulgaria,Republic of Bulgaria,release-candidate-2026-07-07.country-context.v0,country:BGR,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
BHR,BH,Bahrain,Kingdom of Bahrain,release-candidate-2026-07-07.country-context.v0,country:BHR,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
BHS,BS,Bahamas,Commonwealth of the Bahamas,release-candidate-2026-07-07.country-context.v0,country:BHS,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
BIH,BA,Bosnia and Herzegovina,Republic of Bosnia and Herzegovina,release-candidate-2026-07-07.country-context.v0,country:BIH,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
BLM,BL,Saint Barthélemy,,release-candidate-2026-07-07.country-context.v0,country:BLM,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
BLR,BY,Belarus,Republic of Belarus,release-candidate-2026-07-07.country-context.v0,country:BLR,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
BLZ,BZ,Belize,,release-candidate-2026-07-07.country-context.v0,country:BLZ,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
BMU,BM,Bermuda,,release-candidate-2026-07-07.country-context.v0,country:BMU,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
BOL,BO,"Bolivia, Plurinational State of",Plurinational State of Bolivia,release-candidate-2026-07-07.country-context.v0,country:BOL,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
BRA,BR,Brazil,Federative Republic of Brazil,release-candidate-2026-07-07.country-context.v0,country:BRA,canonical_country_profile_present_on_live_site,canonical country measurement profile; exact layers must be verified from release artifacts before modification,,retain_and_revalidate_against_new_source_snapshots,live site states Brazil and India currently have canonical country measurement profiles,"homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
BRB,BB,Barbados,,release-candidate-2026-07-07.country-context.v0,country:BRB,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
BRN,BN,Brunei Darussalam,,release-candidate-2026-07-07.country-context.v0,country:BRN,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
BTN,BT,Bhutan,Kingdom of Bhutan,release-candidate-2026-07-07.country-context.v0,country:BTN,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
BVT,BV,Bouvet Island,,release-candidate-2026-07-07.country-context.v0,country:BVT,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
BWA,BW,Botswana,Republic of Botswana,release-candidate-2026-07-07.country-context.v0,country:BWA,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
CAF,CF,Central African Republic,,release-candidate-2026-07-07.country-context.v0,country:CAF,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
CAN,CA,Canada,,release-candidate-2026-07-07.country-context.v0,country:CAN,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
CCK,CC,Cocos (Keeling) Islands,,release-candidate-2026-07-07.country-context.v0,country:CCK,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
CHE,CH,Switzerland,Swiss Confederation,release-candidate-2026-07-07.country-context.v0,country:CHE,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
CHL,CL,Chile,Republic of Chile,release-candidate-2026-07-07.country-context.v0,country:CHL,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
CHN,CN,China,People's Republic of China,release-candidate-2026-07-07.country-context.v0,country:CHN,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
CIV,CI,Côte d'Ivoire,Republic of Côte d'Ivoire,release-candidate-2026-07-07.country-context.v0,country:CIV,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
CMR,CM,Cameroon,Republic of Cameroon,release-candidate-2026-07-07.country-context.v0,country:CMR,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
COD,CD,"Congo, The Democratic Republic of the",,release-candidate-2026-07-07.country-context.v0,country:COD,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
COG,CG,Congo,Republic of the Congo,release-candidate-2026-07-07.country-context.v0,country:COG,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
COK,CK,Cook Islands,,release-candidate-2026-07-07.country-context.v0,country:COK,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
COL,CO,Colombia,Republic of Colombia,release-candidate-2026-07-07.country-context.v0,country:COL,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
COM,KM,Comoros,Union of the Comoros,release-candidate-2026-07-07.country-context.v0,country:COM,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
CPV,CV,Cabo Verde,Republic of Cabo Verde,release-candidate-2026-07-07.country-context.v0,country:CPV,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
CRI,CR,Costa Rica,Republic of Costa Rica,release-candidate-2026-07-07.country-context.v0,country:CRI,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
CUB,CU,Cuba,Republic of Cuba,release-candidate-2026-07-07.country-context.v0,country:CUB,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
CUW,CW,Curaçao,Curaçao,release-candidate-2026-07-07.country-context.v0,country:CUW,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
